EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
7798133540175;VINHO MALBEC BAUDRON MEIO SECO 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798147780062;BOMBOM FRANUI DUO CHOCOLATE 150G;GENÉRICO;DOCES;;;;;TRUE
7798147783223;BOMBOM FRANUI AO LEITE 150G;GENÉRICO;DOCES;;;;;TRUE
7798147784008;FRANUI PINK 150G;GENÉRICO;DOCES;;;;;TRUE
7804320116815;VINHO BRANCO CONCHA Y TORO SAUVIGNON 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804320116846;VINHO MEIO SECO CONCHA Y TORO C.S. 750 ML;GENÉRICO;VINHOS;;;;;TRUE
7804320148397;VINHO CONCHA Y TORO RESERVADO MERLOT 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804320303178;VINHO CASILLERO DEL DIABLO CABERNET SAUVIGNON 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804320751467;VINHO BRANCO CONCHA Y TORO CHARDONAY 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804320985633;VINHO CASILLERO DEL DIABLO MERLOT 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804342001700;VINHO BRANCO SECO SANTIAGO 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804350007329;VINHO SANTA CAROLINA MALBEC 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804413004029;VINHO BRANCO TIERRAS DE CHILE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804414013334;VINHO CANTOR C.S. 750ML;GENÉRICO;VINHOS;;;;;TRUE
7804670152242;VINHO ROSE ALMARE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729601064;VINHO CABALLO LOCO CARMENERE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729601170;VINHO CASAS PATRONALES C.S. TINTO SECO 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729601187;VINHO CASAS PATRONALES CARMENERE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729601194;VINHO CASAS PATRONALES MERLOT 750 ML;GENÉRICO;VINHOS;;;;;TRUE
7808729601200;VINHO CASAS PATRONALES C.S.B. 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729601217;VINHO CASAS PATRONALES BRANCO SECO 750ML;GENÉRICO;VINHOS;;;;;TRUE
7808729602047;VINHO SECO C.S. CASAS PATRONALES 750ML;GENÉRICO;VINHOS;;;;;TRUE
